Prodotto,Date,ProductionVolume
FRUMENTO DURO,2024-07-16,0
FRUMENTO DURO,2024-07-14,0
FRUMENTO DURO,2024-06-29,0
GIRASOLE,2024-09-19,7
GIRASOLE,2024-09-20,19
FRUMENTO DURO,2024-07-10,2
COLZA,2024-06-19,1
MEDICA,2024-06-20,29
FRUMENTO TENERO,2024-07-18,46
ORZO,2024-07-29,1
MEDICA,2024-06-29,10
GIRASOLE,2024-09-19,73
FRUMENTO TENERO,2024-07-05,24
MAIS,2024-10-23,13
FRUMENTO DURO,2024-06-29,0
COLZA,2024-06-27,0
MAIS,2024-11-11,63
MEDICA,2024-06-07,2
ORZO,2024-07-27,0
GIRASOLE,2024-09-26,20
FRUMENTO TENERO,2024-07-04,34
MEDICA,2024-05-09,3
FRUMENTO DURO,2024-07-10,0
COLZA,2024-06-29,2
FRUMENTO DURO,2024-06-30,0
FRUMENTO TENERO,2024-07-12,0
FRUMENTO DURO,2024-07-12,1
FRUMENTO DURO,2024-07-06,1
MEDICA,2024-07-22,9
FRUMENTO DURO,2024-07-04,0
FRUMENTO TENERO,2024-07-11,9
FRUMENTO TENERO,2024-07-16,12
COLZA,2024-06-25,1
MEDICA,2024-06-10,2
COLZA,2024-06-13,0
ORZO,2024-07-26,1
FRUMENTO DURO,2024-07-18,0
FRUMENTO TENERO,2024-07-28,7
FRUMENTO DURO,2024-07-15,0
FRUMENTO DURO,2024-07-21,1
MAIS,2024-10-23,65
ORZO,2024-07-17,0
MAIS,2024-11-01,12
MAIS,2024-10-23,22
COLZA,2024-06-20,0
GIRASOLE,2024-09-04,5
ORZO,2024-07-01,0
MAIS,2024-10-16,9
MAIS,2024-10-30,0
COLZA,2024-06-05,0
FRUMENTO DURO,2024-06-29,0
FRUMENTO TENERO,2024-07-05,6
ORZO,2024-07-17,0
GIRASOLE,2024-09-09,8
GIRASOLE,2024-09-06,17
MAIS,2024-11-10,20
GIRASOLE,2024-09-04,7
COLZA,2024-05-31,0
FRUMENTO TENERO,2024-07-17,4
MEDICA,2024-07-18,3
GIRASOLE,2024-09-26,6
COLZA,2024-06-27,0
FRUMENTO TENERO,2024-07-04,1
FRUMENTO DURO,2024-06-30,0
MAIS,2024-10-29,5
MAIS,2024-10-03,25
MEDICA,2024-08-19,0
MEDICA,2024-07-30,1
FRUMENTO TENERO,2024-07-14,2
ORZO,2024-07-05,0
MAIS,2024-09-29,6
FRUMENTO DURO,2024-07-25,0
GIRASOLE,2024-09-26,6
GIRASOLE,2024-08-28,4
ORZO,2024-07-01,0
MAIS,2024-11-20,8
FRUMENTO DURO,2024-07-12,1
MEDICA,2024-08-28,0
MAIS,2024-11-10,0
MAIS,2024-10-10,2
GIRASOLE,2024-09-06,1
COLZA,2024-06-21,0
GIRASOLE,2024-09-10,1
MAIS,2024-11-04,2
GIRASOLE,2024-09-07,1
MAIS,2024-10-27,2
ORZO,2024-07-22,0
GIRASOLE,2024-09-12,0
MEDICA,2024-06-27,0
FRUMENTO DURO,2024-07-16,0
MEDICA,2024-07-26,1
FRUMENTO TENERO,2024-07-02,1
FRUMENTO TENERO,2024-07-26,0
MAIS,2024-11-01,1
ORZO,2024-07-23,0
FRUMENTO TENERO,2024-07-02,0
FRUMENTO TENERO,2024-07-18,0
FRUMENTO TENERO,2024-07-11,0
COLZA,2024-06-20,0
GIRASOLE,2024-09-16,1
MEDICA,2024-08-14,1
FRUMENTO DURO,2024-07-04,0
COLZA,2024-06-02,0
FRUMENTO DURO,2024-07-16,0
ORZO,2024-07-20,0
COLZA,2024-06-15,0
ORZO,2024-07-19,0
ORZO,2024-07-19,0
COLZA,2024-06-11,0
MEDICA,2024-05-19,0
FRUMENTO TENERO,2024-07-18,0
COLZA,2024-06-19,0
GIRASOLE,2024-08-28,0
FRUMENTO DURO,2024-06-29,0
ORZO,2024-07-05,0
MAIS,2024-11-15,1
MAIS,2024-10-28,0
GIRASOLE,2024-09-16,0
FRUMENTO TENERO,2024-07-29,0
COLZA,2024-06-02,0
COLZA,2024-06-12,0
COLZA,2024-05-30,0
FRUMENTO TENERO,2024-07-18,0
